Type;Reference;DOI
Literature;Brawley, S., Coyer, J., Blakeslee, A., Hoarau, G., Johnson, L., Byers, J., Stam, W. & Olsen, J. Historical Invasions Of The Intertidal Zone Of Atlantic North America Associated With Distinctive Patterns Of Trade And Emigration. Proc. Natl. Acad. Sci. U. S. A. 106: 20, 8239-8244 (2009) ;10.1073/pnas.0812300106
Literature;Coyer, J., Hoarau, G., Skage, M., Stam, W. & Olsen, J. Origin Offucus Serratus(heterokontophyt., Fucaceae) Populations In Iceland And The Faroes: A Microsatellite-based Assessment. Eur. J. Phycol. 41: 2, 235-246 (2006) ;10.1080/09670260600652820
Literature;Coyer, J., Peters, A., Stam, W. & Olsen, J. Post-ice Age Recolonization And Differentiation Of Fucus Serratus L. (phaeophycea., Fucaceae) Populations In Northern Europe. Mol. Ecol. 12: 7, 1817-1829 (2003) ;10.1046/j.1365-294x.2003.01850.x
Literature;Pérez-Ruzafa, I. & Gallardo, T. Mapas de distribución de algas marinas de la Península Ibérica e Islas Baleares. X. Variedades de Fucus spiralis L. y de F. vesiculosus L. (Fucales, Fucophyceae). Bot. Complutensis 21: 121-136 (1997). ;
Literature;Perrin, C., Daguin, C., Vliet, M., Engel, C., Pearson, G. & Serrão, E. Implications Of Mating System For Genetic Diversity Of Sister Algal Species:fucus Spiralisandfucus Vesiculosus(heterokontophyta, Phaeophyceae). Eur. J. Phycol. 42: 3, 219-230 (2007) ;10.1080/09670260701336554
Literature;Assis, J., Serrão, E., Claro, B., Perrin, C. & Pearson, G. Climate-driven Range Shifts Explain The Distribution Of Extant Gene Pools And Predict Future Loss Of Unique Lineages In A Marine Brown Alga. Mol. Ecol. 23: 11, 2797-2810 (2014) ;10.1111/mec.12772
Literature;Muhlin, J. & Brawley, S. Recent Versus Relic: Discerning The Genetic Signature Of Fucus Vesiculosus (heterokontophyt., Phaeophyceae) In The Northwestern Atlantic1. J. Phycol. 45: 4, 828-837 (2009) ;10.1111/j.1529-8817.2009.00715.x
Literature;Nicastro, K., Zardi, G., Teixeira, S., Neiva, J., Serrão, E. & Pearson, G. Shift Happens: Trailing Edge Contraction Associated With Recent Warming Trends Threatens A Distinct Genetic Lineage In The Marine Macroalga Fucus Vesiculosus. BMC Biol. 11: 1, 6 (2013) ;10.1186/1741-7007-11-6
Literature;Beqiraj, S. Lagoon Of Patok. Transitional Waters Bulletin In The Cadses Area, 1(1), 8–9. (2005);
Literature;Boero, F., Féral, J.P., Azzurro, E., Cardin, V., Riedel, B., Despalatović, M.,Munda, I., Moschella, P., Zaouali, J., Fonda Umani, S., Theocharis, A.,Wiltshire, K. & Briand, F. Climate warming and related changes in Mediterranean marinebiota. N° 35 in CIESM Workshop Monographs, 152 pages, Monaco. (2008);
Literature;Fumari, G., Cormaci, M., Serio, D. Catalogue Of The Benthic Marine Macroalgae Of The Italian Coast Of The Adriatic Sea. Bocconea, 12, 5–214. (1999);
