aphiaID;acceptedAphiaID;name;acceptedName;Intertidal;Subtidal
371993;371993;Laminaria yezoensis;Laminaria yezoensis;;1
669167;371993;Laminaria personata;Laminaria yezoensis;;1
707988;707988;Landsburgia ilicifolia;Landsburgia ilicifolia;;
373481;373481;Landsburgia myricifolia;Landsburgia myricifolia;;
373376;373376;Landsburgia quercifolia;Landsburgia quercifolia;;
373469;373469;Lessonia adamsiae;Lessonia adamsiae;;1
666977;666977;Lessonia berteroana;Lessonia berteroana;;1
373468;373468;Lessonia brevifolia;Lessonia brevifolia;;1
374836;374836;Lessonia corrugata;Lessonia corrugata;;1
499773;499773;Lessonia flavicans;Lessonia flavicans;;1
374292;499773;Lessonia frutescens;Lessonia flavicans;;1
375079;499773;Lessonia vadosa;Lessonia flavicans;;1
374293;499773;Lessonia fuscescens;Lessonia flavicans;;1
373654;373654;Lessonia nigrescens;Lessonia nigrescens;;1
623595;623595;Lessonia searlesiana;Lessonia searlesiana;;1
837696;837696;Lessonia spicata;Lessonia spicata;;1
373470;373470;Lessonia tholiformis;Lessonia tholiformis;;1
373655;373655;Lessonia trabeculata;Lessonia trabeculata;;1
373467;373467;Lessonia variegata;Lessonia variegata;;1
372508;372508;Lessoniopsis littoralis;Lessoniopsis littoralis;;1
497644;372508;Lessonia littoralis;Lessoniopsis littoralis;;1
232231;232231;Macrocystis pyrifera;Macrocystis pyrifera;;1
372509;232231;Macrocystis integrifolia;Macrocystis pyrifera;;1
214347;232231;Macrocystis angustifolia;Macrocystis pyrifera;;1
373474;373474;Marginariella boryana;Marginariella boryana;;
497846;373474;Marginaria boryana;Marginariella boryana;;
623340;623340;Marginariella parsonsii;Marginariella parsonsii;;
373473;373473;Marginariella urvilliana;Marginariella urvilliana;;
497845;373473;Marginaria urvilliana;Marginariella urvilliana;;
498405;372020;Cystophyllum turneri;Myagropsis myagroides;;
372020;372020;Myagropsis myagroides;Myagropsis myagroides;;
498404;372020;Cystophyllum sisymbroides;Myagropsis myagroides;;
498403;372020;Cystophyllum caespitosum;Myagropsis myagroides;;
498402;372020;Myagropsis yendoi;Myagropsis myagroides;;
374887;374887;Myriodesma calophyllum;Myriodesma calophyllum;;
374885;374885;Myriodesma harveyanum;Myriodesma harveyanum;;
374466;374466;Myriodesma integrifolium;Myriodesma integrifolium;;
374884;374884;Myriodesma leptophyllum;Myriodesma leptophyllum;;
500145;374468;Myriodesma latifolium;Myriodesma quercifolium;;
374468;374468;Myriodesma quercifolium;Myriodesma quercifolium;;
374469;374469;Myriodesma serrulatum;Myriodesma serrulatum;;
374886;374886;Myriodesma tuberosum;Myriodesma tuberosum;;
372699;1313053;Agarum fimbriatum;Neoagarum fimbriatum;;1
1313053;1313053;Neoagarum fimbriatum;Neoagarum fimbriatum;;1
371983;1312890;Agarum oharaense;Neoagarum oharaense;;1
240752;240752;Nereocystis luetkeana;Nereocystis luetkeana;;1
374472;374472;Nizamuddinia zanardinii;Nizamuddinia zanardinii;;
500052;374472;Sargassum zanardinii;Nizamuddinia zanardinii;;
373348;373348;Notheia anomala;Notheia anomala;;
214356;214356;Oerstedtia scalaris;Oerstedtia scalaris;;
500054;214356;Carpophyllum scalare;Oerstedtia scalaris;;
372700;372700;Pelagophycus porra;Pelagophycus porra;;
498512;372700;Pelagophycus giganteus;Pelagophycus porra;;
145550;145550;Pelvetia canaliculata;Pelvetia canaliculata;1;
239225;145550;Fucus canaliculatus;Pelvetia canaliculata;1;
499539;145550;Fucodium canaliculatum;Pelvetia canaliculata;1;
372701;372701;Pelvetiopsis arborescens;Pelvetiopsis arborescens;1;
374117;1313566;Hesperophycus californicus;Pelvetiopsis californica;1;
496254;1313566;Hesperophycus harveyanus;Pelvetiopsis californica;1;
497710;1313566;Fucus harveyanus;Pelvetiopsis californica;1;
372511;372511;Pelvetiopsis limitata;Pelvetiopsis limitata;1;
145732;145732;Phyllariopsis brevipes;Phyllariopsis brevipes;;1
381642;145732;Phyllaria reniformis;Phyllariopsis brevipes;;1
499107;145732;Laminaria brevipes;Phyllariopsis brevipes;;1
145733;145733;Phyllariopsis purpurascens;Phyllariopsis purpurascens;;1
497112;145733;Phyllaria purpurascens;Phyllariopsis purpurascens;;1
374705;374705;Phyllospadix iwatensis;Phyllospadix iwatensis;;
374706;374706;Phyllospadix japonicus;Phyllospadix japonicus;;
374707;374707;Phyllospadix scouleri;Phyllospadix scouleri;;
374708;374708;Phyllospadix serrulatus;Phyllospadix serrulatus;;
374709;374709;Phyllospadix torreyi;Phyllospadix torreyi;;
374788;374788;Phyllospora comosa;Phyllospora comosa;;
836928;836928;Phyllotricha decipiens;Phyllotricha decipiens;;
500832;836928;Sargassum muriculatum;Phyllotricha decipiens;;
495039;836928;Sargassum decipiens;Phyllotricha decipiens;;
