aphiaID;parentAphiaID;acceptedAphiaID;name;scientificNameAuthorship;acceptedName;kingdom;phylum;class;order;family;genus;taxonRank;taxonomicStatus
214347;206527;232231;Macrocystis angustifolia;Bory de Saint-Vincent, 1826;Macrocystis pyrifera;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Macrocystis;Species;unaccepted
371979;144194;547463;Alaria fistulosa;Postels & Ruprecht, 1840;Eualaria fistulosa;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;unaccepted
372508;369837;372508;Lessoniopsis littoralis;(Farlow & Setchell ex Tilden) Reinke, 1903;Lessoniopsis littoralis;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Lessoniopsis;Species;accepted
372515;369575;372515;Dictyoneurum californicum;Ruprecht, 1852;Dictyoneurum californicum;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Costariaceae;Dictyoneurum;Species;accepted
372699;157205;1313053;Agarum fimbriatum;Harvey, 1862;Neoagarum fimbriatum;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Agaraceae;Agarum;Species;unaccepted
145504;144126;145504;Cystoseira abies-marina;(S.G.Gmelin) C.Agardh, 1820;Cystoseira abies-marina;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145552;144132;145552;Sargassum acinarium;(Linnaeus) Setchell, 1933;Sargassum acinarium;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Species;accepted
239179;144126;145536;Cystoseira ericoides;(Linnaeus) C.Agardh, 1820;Cystoseira tamariscifolia;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
239180;144126;145507;Cystoseira fibrosa;(Hudson) C.Agardh, 1820;Cystoseira baccata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
145512;144126;145518;Cystoseira concatenata;(Linnaeus) C.Agardh, 1820;Cystoseira foeniculacea;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
495997;144126;145508;Cystoseira hoppii;C.Agardh, 1820;Cystoseira barbata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
163293;144201;145735;Saccorhiza bulbosa;J.Agardh, 1848;Saccorhiza polyschides;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Species;unaccepted
292670;144126;249680;Cystoseira spicata;Ercegovic, 1952;Cystoseira amentacea var. stricta;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
503349;144126;145537;Cystoseira granulata;C.Agardh, 1820;Cystoseira usneoides;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
496831;144126;295873;Cystoseira myriophylloides;Sauvageau, 1912;Cystoseira humilis var. myriophylloides;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;unaccepted
145524;144126;145524;Cystoseira mediterranea;Sauvageau, 1912;Cystoseira mediterranea;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
495080;144233;495080;Zostera japonica;Ascherson & Graebner, 1907;Zostera japonica;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Zosteraceae;Zostera;Species;accepted
145918;144282;145918;Haplospora globosa;Kjellman, 1872;Haplospora globosa;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Tilopteridaceae;Haplospora;Species;accepted
145919;144283;145919;Tilopteris mertensii;(Turner) Kützing, 1849;Tilopteris mertensii;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Tilopteridaceae;Tilopteris;Species;accepted
145723;144198;145723;Halosiphon tomentosus;(Lyngbye) Jaasund, 1957;Halosiphon tomentosus;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Halosiphonaceae;Halosiphon;Species;accepted
381642;249682;145732;Phyllaria reniformis;(J.V.Lamouroux) Rostafinsky, 1892;Phyllariopsis brevipes;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Phyllaria;Species;unaccepted
497303;249682;145734;Phyllaria dermatodea;(Bachelot de la Pylaie) Gobi, 1878;Saccorhiza dermatodea;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Phyllaria;Species;unaccepted
499111;369718;145735;Haligenia bulbosa;Decaisne, 1842;Saccorhiza polyschides;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Haligenia;Species;unaccepted
374709;370041;374709;Phyllospadix torreyi;S.Watson, 1879;Phyllospadix torreyi;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Phyllospadix;Species;accepted
374716;206309;374716;Syringodium isoetifolium;(Ascherson) Dandy, 1939;Syringodium isoetifolium;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Syringodium;Species;accepted
208924;205141;208924;Halodule uninervis;(Forsskål) Ascherson, 1882;Halodule uninervis;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Halodule;Species;accepted
208921;144231;208921;Cymodocea rotundata;Ascherson & Schweinfurth, 1870;Cymodocea rotundata;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Cymodocea;Species;accepted
208919;144231;208919;Cymodocea serrulata;(R.Brown) Ascherson & Magnus;Cymodocea serrulata;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Cymodocea;Species;accepted
374705;370041;374705;Phyllospadix iwatensis;Makino, 1931;Phyllospadix iwatensis;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Phyllospadix;Species;accepted
374708;370041;374708;Phyllospadix serrulatus;Ruprecht ex Ascherson, 1868;Phyllospadix serrulatus;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Phyllospadix;Species;accepted
374715;206309;374715;Syringodium filiforme;Kützing, 1860;Syringodium filiforme;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Syringodium;Species;accepted
146819;144197;145723;Chorda tomentosa;Lyngbye, 1819;Halosiphon tomentosus;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Chordaceae;Chorda;Species;unaccepted
499225;144194;371791;Alaria tenuifolia;Setchell, 1903;Alaria marginata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;unaccepted
526691;144194;371791;Alaria valida;Kjellman & Setchell, 1903;Alaria marginata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;unaccepted
496237;369734;496237;Hedophyllum sessile;(C.Agardh) Setchell, 1901;Hedophyllum sessile;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Hedophyllum;Species;accepted
498473;369734;498473;Hedophyllum subsessile;(Areschoug) Setchell, 1901;Hedophyllum subsessile;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Hedophyllum;Species;accepted
145727;144199;1313320;Laminaria nigripes;J.Agardh, 1868;Saccharina nigripes;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;unaccepted
372518;370093;372518;Postelsia palmaeformis;Ruprecht, 1852;Postelsia palmaeformis;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Postelsia;Species;accepted
372507;144199;372507;Laminaria sinclairii;(Harvey ex J.D.Hooker & Harvey) Farlow, Anderson & Eaton, 1878;Laminaria sinclairii;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
501540;369610;372502;Egregia laevigata;Setchell, 1896;Egregia menziesii;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Egregia;Species;unaccepted
500966;144194;145716;Alaria musaefolia;(Bachelot de la Pylaie) J.Agardh, 1872;Alaria esculenta;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;unaccepted
376640;369611;376640;Eisenia cokeri;M.Howe, 1914;Eisenia cokeri;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Eisenia;Species;accepted
503417;144194;503417;Alaria cordata;Tilden, 1898;Alaria cordata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;accepted
374924;144199;374924;Laminaria bullata;Kjellman, 1889;Laminaria bullata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
